Age,Gender,screen time,social media,gaming or entertainment apps,sleep time,check phone time,anxious without phone,Use phone before sleeping,addiction level
21,Female,6–8,2–4,2–4,6–7,20–40,sometimes,Always,Medium
30,Female,2–4,2–4,0 hours,6–7,Less than 10 times,no,Never,Low
18,Female,4–6,2–4,2–4,6–7,20–40,sometimes,Sometimes,Medium
26,Female,6–8,4–6,4–6,5–6,More than 40 times,yes,Always,High
19,Female,Less than 2 hours,1–2,1–2,More than 7 hours,Less than 10 times,no,Sometimes,Low
21,Male,2–4,1–2,1–2,6–7,10–20,sometimes,Sometimes,Medium
28,Female,2–4,1–2,0 hours,More than 7 hours,Less than 10 times,no,Never,Low
23,Female,4–6,2–4,1–2,5–6,20–40,sometimes,Sometimes,Medium
28,Female,Less than 2 hours,2–4,0 hours,6–7,Less than 10 times,no,Sometimes,Low
21,Male,2–4,2–4,2–4,More than 7 hours,10–20,no,Sometimes,Low
24,Female,2–4,2–4,4–6,5–6,20–40,sometimes,Sometimes,Medium
27,Male,Less than 2 hours,Less than 1 hour,1–2,6–7,Less than 10 times,no,Sometimes,Low
19,Female,Less than 2 hours,1–2,0 hours,6–7,10–20,no,Sometimes,Low
25,Male,4–6,4–6,2–4,6–7,20–40,sometimes,Always,Medium
19,Male,More than 8 hours,4–6,4–6,Less than 5 hours,20–40,yes,Always,High
22,Female,4–6,2–4,2–4,5–6,10–20,yes,Always,Medium
26,Male,Less than 2 hours,1–2,1–2,6–7,10–20,no,Never,Low
21,Female,4–6,2–4,2–4,6–7,10–20,sometimes,Sometimes,Medium
26,Male,2–4,2–4,2–4,6–7,10–20,sometimes,Always,Medium
21,Female,2–4,2–4,1–2,6–7,20–40,sometimes,Always,Medium
26,Male,Less than 2 hours,Less than 1 hour,1–2,More than 7 hours,Less than 10 times,sometimes,Never,Low
26,Male,4–6,2–4,2–4,6–7,20–40,sometimes,Sometimes,Medium
28,Male,2–4,1–2,1–2,More than 7 hours,Less than 10 times,no,Never,Low
20,Female,2–4,Less than 1 hour,0 hours,More than 7 hours,Less than 10 times,no,Sometimes,Low
28,Male,6–8,More than 6 hours,More than 6 hours,Less than 5 hours,More than 40 times,yes,Always,High
21,Male,Less than 2 hours,Less than 1 hour,0 hours,6–7,Less than 10 times,no,Never,Low
22,Female,Less than 2 hours,1–2,2–4,More than 7 hours,Less than 10 times,no,Never,Low
30,Male,6–8,4–6,2–4,6–7,20–40,sometimes,Sometimes,Medium
28,Female,Less than 2 hours,Less than 1 hour,1–2,More than 7 hours,Less than 10 times,no,Sometimes,Low
22,Female,More than 8 hours,4–6,4–6,Less than 5 hours,More than 40 times,yes,Always,High
24,Female,Less than 2 hours,1–2,1–2,More than 7 hours,Less than 10 times,no,Never,Low
18,Female,4–6,4–6,2–4,6–7,10–20,sometimes,Sometimes,Medium
18,Male,More than 8 hours,4–6,2–4,Less than 5 hours,More than 40 times,sometimes,Always,High
30,Male,4–6,1–2,1–2,5–6,10–20,yes,Always,Medium
27,Male,More than 8 hours,More than 6 hours,4–6,Less than 5 hours,More than 40 times,yes,Always,High
26,Male,2–4,Less than 1 hour,1–2,6–7,10–20,no,Sometimes,Low
26,Female,6–8,More than 6 hours,More than 6 hours,5–6,More than 40 times,yes,Always,High
21,Female,2–4,Less than 1 hour,2–4,6–7,Less than 10 times,no,Never,Low
18,Female,Less than 2 hours,Less than 1 hour,0 hours,More than 7 hours,10–20,no,Never,Low
